x,ax,y,ay
2.500000000000001,250.00000000000006,4.329636518922193,432.9146018922193
5.000000000000002,250.00000000000006,8.658292037844387,432.8165018922193
7.500000000000003,250.00000000000006,12.98596655676658,432.71840189221933
10.000000000000004,250.00000000000006,17.312660075688775,432.62030189221935
12.500000000000004,250.00000000000006,21.63837259461097,432.52220189221936
15.000000000000004,250.00000000000006,25.963104113533163,432.42410189221937
17.500000000000004,250.00000000000006,30.286854632455356,432.3260018922194
20.000000000000004,250.00000000000006,34.60962415137755,432.2279018922194
22.500000000000004,250.00000000000006,38.93141267029975,432.1298018922194
25.000000000000004,250.00000000000006,43.252220189221944,432.0317018922194
27.500000000000004,250.00000000000006,47.572046708144136,431.93360189221943
30.000000000000004,250.00000000000006,51.89089222706633,431.83550189221944
32.50000000000001,250.00000000000006,56.208756745988524,431.73740189221945
35.00000000000001,250.00000000000006,60.52564026491072,431.63930189221946
37.50000000000001,250.00000000000006,64.84154278383292,431.5412018922195
40.00000000000001,250.00000000000006,69.15646430275511,431.4431018922195
42.50000000000001,250.00000000000006,73.4704048216773,431.3450018922195
45.00000000000001,250.00000000000006,77.7833643405995,431.2469018922195
47.50000000000001,250.00000000000006,82.09534285952171,431.1488018922195
50.00000000000001,250.00000000000006,86.4063403784439,431.05070189221954
52.50000000000001,250.00000000000006,90.7163568973661,430.95260189221955
55.00000000000001,250.00000000000006,95.0253924162883,430.85450189221956
57.50000000000001,250.00000000000006,99.33344693521049,430.75640189221957
60.00000000000001,250.00000000000006,103.64052045413268,430.6583018922196
62.50000000000001,250.00000000000006,107.94661297305488,430.5602018922196
65.00000000000001,250.00000000000006,112.25172449197709,430.4621018922196
67.50000000000001,250.00000000000006,116.55585501089928,430.3640018922196
70.00000000000001,250.00000000000006,120.85900452982148,430.26590189221963
72.50000000000001,250.00000000000006,125.16117304874368,430.16780189221964
75.00000000000001,250.00000000000006,129.46236056766588,430.06970189221965
77.50000000000001,250.00000000000006,133.7625670865881,429.97160189221967
80.00000000000001,250.00000000000006,138.06179260551028,429.8735018922197
82.50000000000001,250.00000000000006,142.36003712443247,429.7754018922197
85.00000000000001,250.00000000000006,146.65730064335466,429.6773018922197
87.50000000000001,250.00000000000006,150.95358316227686,429.5792018922197
90.00000000000001,250.00000000000006,155.24888468119906,429.4811018922197
92.50000000000001,250.00000000000006,159.54320520012126,429.38300189221974
95.00000000000001,250.00000000000006,163.83654471904347,429.28490189221975
97.50000000000001,250.00000000000006,168.12890323796566,429.18680189221976
100.00000000000001,250.00000000000006,172.42028075688785,429.0887018922198
102.50000000000001,250.00000000000006,176.71067727581004,428.9906018922198
105.00000000000001,250.00000000000006,181.00009279473224,428.8925018922198
107.50000000000001,250.00000000000006,185.28852731365444,428.7944018922198
110.00000000000001,250.00000000000006,189.57598083257665,428.6963018922198
112.50000000000001,250.00000000000006,193.86245335149886,428.59820189221983
115.00000000000001,250.00000000000006,198.14794487042104,428.50010189221985
117.50000000000001,250.00000000000006,202.43245538934323,428.40200189221986
120.00000000000001,250.00000000000006,206.71598490826543,428.30390189221987
122.50000000000001,250.00000000000006,210.99853342718762,428.2058018922199
125.00000000000001,250.00000000000006,215.28010094610983,428.1077018922199
127.50000000000001,250.00000000000006,219.56068746503203,428.0096018922199
130.00000000000003,250.00000000000006,223.84029298395424,427.9115018922199
132.50000000000003,250.00000000000006,228.11891750287646,427.81340189221993
135.00000000000003,250.00000000000006,232.39656102179865,427.71530189221994
