label,image_path,hp,attack,defense,special-attack,special-defense,speed
abomasnow,dataset/abomasnow/abomasnow_8.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_18.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_11.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_16.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_9.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_7.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_40.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_35.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_32.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_4.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_3.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_38.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_31.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_27.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_20.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_24.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_29.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_12.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_37.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_30.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_39.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_2.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_5.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_13.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_14.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_28.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_21.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_26.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_10.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_17.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_1.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_15.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_23.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_36.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_34.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_33.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_22.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_25.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_19.png,90,92,75,92,85,60
abomasnow,dataset/abomasnow/abomasnow_6.png,90,92,75,92,85,60
abra,dataset/abra/abra_1.png,25,20,15,105,55,90
abra,dataset/abra/abra_29.png,25,20,15,105,55,90
abra,dataset/abra/abra_38.png,25,20,15,105,55,90
abra,dataset/abra/abra_31.png,25,20,15,105,55,90
abra,dataset/abra/abra_36.png,25,20,15,105,55,90
abra,dataset/abra/abra_28.png,25,20,15,105,55,90
abra,dataset/abra/abra_21.png,25,20,15,105,55,90
abra,dataset/abra/abra_26.png,25,20,15,105,55,90
abra,dataset/abra/abra_13.png,25,20,15,105,55,90
abra,dataset/abra/abra_14.png,25,20,15,105,55,90
abra,dataset/abra/abra_5.png,25,20,15,105,55,90
abra,dataset/abra/abra_2.png,25,20,15,105,55,90
abra,dataset/abra/abra_37.png,25,20,15,105,55,90
abra,dataset/abra/abra_8.png,25,20,15,105,55,90
abra,dataset/abra/abra_22.png,25,20,15,105,55,90
abra,dataset/abra/abra_25.png,25,20,15,105,55,90
abra,dataset/abra/abra_20.png,25,20,15,105,55,90
abra,dataset/abra/abra_10.png,25,20,15,105,55,90
abra,dataset/abra/abra_27.png,25,20,15,105,55,90
abra,dataset/abra/abra_15.png,25,20,15,105,55,90
abra,dataset/abra/abra_6.png,25,20,15,105,55,90
abra,dataset/abra/abra_19.png,25,20,15,105,55,90
abra,dataset/abra/abra_40.png,25,20,15,105,55,90
abra,dataset/abra/abra_35.png,25,20,15,105,55,90
abra,dataset/abra/abra_32.png,25,20,15,105,55,90
abra,dataset/abra/abra_7.png,25,20,15,105,55,90
abra,dataset/abra/abra_18.png,25,20,15,105,55,90
abra,dataset/abra/abra_11.png,25,20,15,105,55,90
abra,dataset/abra/abra_9.png,25,20,15,105,55,90
abra,dataset/abra/abra_16.png,25,20,15,105,55,90
abra,dataset/abra/abra_23.png,25,20,15,105,55,90
abra,dataset/abra/abra_24.png,25,20,15,105,55,90
abra,dataset/abra/abra_3.png,25,20,15,105,55,90
abra,dataset/abra/abra_17.png,25,20,15,105,55,90
abra,dataset/abra/abra_30.png,25,20,15,105,55,90
abra,dataset/abra/abra_12.png,25,20,15,105,55,90
abra,dataset/abra/abra_4.png,25,20,15,105,55,90
abra,dataset/abra/abra_33.png,25,20,15,105,55,90
abra,dataset/abra/abra_39.png,25,20,15,105,55,90
abra,dataset/abra/abra_34.png,25,20,15,105,55,90
absol,dataset/absol/absol_1.png,65,130,60,75,60,75
absol,dataset/absol/absol_27.png,65,130,60,75,60,75
absol,dataset/absol/absol_29.png,65,130,60,75,60,75
absol,dataset/absol/absol_8.png,65,130,60,75,60,75
absol,dataset/absol/absol_12.png,65,130,60,75,60,75
absol,dataset/absol/absol_15.png,65,130,60,75,60,75
absol,dataset/absol/absol_38.png,65,130,60,75,60,75
absol,dataset/absol/absol_36.png,65,130,60,75,60,75
absol,dataset/absol/absol_30.png,65,130,60,75,60,75
absol,dataset/absol/absol_7.png,65,130,60,75,60,75
absol,dataset/absol/absol_21.png,65,130,60,75,60,75
absol,dataset/absol/absol_26.png,65,130,60,75,60,75
absol,dataset/absol/absol_28.png,65,130,60,75,60,75
absol,dataset/absol/absol_9.png,65,130,60,75,60,75
absol,dataset/absol/absol_13.png,65,130,60,75,60,75
absol,dataset/absol/absol_14.png,65,130,60,75,60,75
absol,dataset/absol/absol_6.png,65,130,60,75,60,75
absol,dataset/absol/absol_37.png,65,130,60,75,60,75
absol,dataset/absol/absol_20.png,65,130,60,75,60,75
absol,dataset/absol/absol_18.png,65,130,60,75,60,75
absol,dataset/absol/absol_34.png,65,130,60,75,60,75
absol,dataset/absol/absol_33.png,65,130,60,75,60,75
absol,dataset/absol/absol_10.png,65,130,60,75,60,75
absol,dataset/absol/absol_17.png,65,130,60,75,60,75
absol,dataset/absol/absol_19.png,65,130,60,75,60,75
absol,dataset/absol/absol_22.png,65,130,60,75,60,75
absol,dataset/absol/absol_4.png,65,130,60,75,60,75
absol,dataset/absol/absol_3.png,65,130,60,75,60,75
absol,dataset/absol/absol_25.png,65,130,60,75,60,75
absol,dataset/absol/absol_32.png,65,130,60,75,60,75
absol,dataset/absol/absol_35.png,65,130,60,75,60,75
absol,dataset/absol/absol_2.png,65,130,60,75,60,75
absol,dataset/absol/absol_24.png,65,130,60,75,60,75
absol,dataset/absol/absol_23.png,65,130,60,75,60,75
absol,dataset/absol/absol_5.png,65,130,60,75,60,75
absol,dataset/absol/absol_11.png,65,130,60,75,60,75
absol,dataset/absol/absol_31.png,65,130,60,75,60,75
absol,dataset/absol/absol_16.png,65,130,60,75,60,75
accelgor,dataset/accelgor/accelgor_7.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_5.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_13.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_14.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_3.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_4.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_9.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_19.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_17.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_10.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_18.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_16.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_11.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_6.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_1.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_8.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_20.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_12.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_2.png,80,70,40,100,60,145
accelgor,dataset/accelgor/accelgor_15.png,80,70,40,100,60,145
aegislash-shield,dataset/aegislash-shield/aegislash-shield_12.png,60,50,140,50,140,60
aegislash-shield,dataset/aegislash-shield/aegislash-shield_7.png,60,50,140,50,140,60
aegislash-shield,dataset/aegislash-shield/aegislash-shield_9.png,60,50,140,50,140,60
aegislash-shield,dataset/aegislash-shield/aegislash-shield_11.png,60,50,140,50,140,60
aegislash-shield,dataset/aegislash-shield/aegislash-shield_16.png,60,50,140,50,140,60
aegislash-shield,dataset/aegislash-shield/aegislash-shield_10.png,60,50,140,50,140,60
aegislash-shield,dataset/aegislash-shield/aegislash-shield_8.png,60,50,140,50,140,60
